HarvestYear,ID2,Longitude,Latitude,SampleID,Crop,GrainSampleArea,GrainMassWet,GrainMassWetInGrainSample,GrainMassOvenDryInGrainSample,GrainMassAirDry,GrainMassOvenDry,GrainMoisture,GrainProtein,GrainStarch,GrainWGlutDM,GrainOilDM,GrainTestWeight,GrainCarbon,GrainNitrogen,GrainSulfur,BiomassSampleArea,BiomassWet,BiomassAirDry,GrainMassWetInBiomassSample,GrainMassOvenDryInBiomassSample,ResidueMassWetSubsample,ResidueMassOvenDrySubsample,ResidueCarbon,ResidueNitrogen,ResidueSulfur,Comments
1999,1,-117.087514,46.778729,,SW,0,,0,0,,,,,,,,,44.06,2.387,0.1919,2.032,1155.7,,465.5,448.74,71.9,67.9,44.1,0.44,0.06,
1999,2,-117.08706455,46.77869163,,SW,0,,0,0,,,,,,,,,45.26,2.602,0.2053,2.032,1355.1,,511.9,493.24,106.1,100.1,43.3,0.45,0.07,
1999,3,-117.086678,46.778791,,SW,0,,0,0,,,,,,,,,44.52,2.489,0.19,2.032,1323.9,,542.1,518.86,96.3,91.7,43.38,0.41,0.08,
1999,4,-117.08626,46.778761,,SW,0,,0,0,,,,,,,,,44.64,2.432,0.18,2.032,1483.8,,610,587.61,109.9,104.5,43.41,0.29,0.06,
1999,5,-117.085842,46.778666,,SW,0,,0,0,,,,,,,,,44.27,2.599,0.1874,2.032,1719.9,,718.1,693.97,94.2,89.1,40.93,0.43,0.07,
1999,6,-117.08541875,46.77877321,,SW,0,,0,0,,,,,,,,,42.84,2.33,0.1761,2.032,1309.9,,541.7,522.21,85,80.5,40.46,0.38,0.06,
1999,7,-117.085006,46.778632,,SW,0,,0,0,,,,,,,,,42.3,2.525,0.1825,2.032,1395.8,,640.2,616.96,94.3,89.5,40.15,0.46,0.08,
1999,8,-117.084588,46.778721,,SW,0,,0,0,,,,,,,,,41.98,2.177,0.1713,2.032,1040.6,,386.9,372.85,96.7,92.2,44.1,0.32,0.06,
1999,9,-117.08417,46.778674,,SW,0,,0,0,,,,,,,,,41.32,2.357,0.1807,2.032,1500.4,,496.8,478.84,93.1,88.1,43.37,0.36,0.08,
1999,10,-117.083752,46.778737,,SW,0,,0,0,,,,,,,,,42.07,2.424,0.1853,2.032,1219.4,,468,450.87,77.8,73.6,43.74,0.5,0.08,
1999,11,-117.083334,46.778658,,SW,0,,0,0,,,,,,,,,41.72,2.406,0.1831,2.032,1252.5,,508.1,489.34,74.9,69.9,43.21,0.69,0.11,
1999,12,-117.08293984,46.77873108,,SW,0,,0,0,,,,,,,,,42.84,2.526,0.1856,2.032,1286.2,,508.1,487.52,74.9,69.9,44.32,0.4,0.07,
1999,13,-117.082498,46.778764,,SW,0,,0,0,,,,,,,,,43.61,2.559,0.1895,2.032,1279.8,,530.2,512.23,80.1,75.6,42.32,0.43,0.08,
1999,14,-117.08163216,46.77868863,,SW,0,,0,0,,,,,,,,,42.47,2.064,0.1558,2.032,1399.9,,540.4,520.76,114.8,108.4,42.04,0.31,0.06,
1999,15,-117.081244,46.778707,,SW,0,,0,0,,,,,,,,,43.57,2.233,0.1599,2.032,1432.9,,539.9,519.8,117,109.1,43.11,0.33,0.06,
1999,16,-117.080408,46.778826,,SW,0,,0,0,,,,,,,,,42.15,2.234,0.1706,2.032,1739.4,,702.7,676.22,122.9,113.8,43.92,0.44,0.08,
1999,17,-117.07999,46.778797,,SW,0,,0,0,,,,,,,,,42.21,2.37,0.1672,2.032,2065.4,,809.9,775.04,129.3,123.6,42.95,0.45,0.09,
1999,18,-117.08888012,46.77895174,,SW,0,,0,0,,,,,,,,,41.54,2.802,0.1964,2.032,1419.4,,582.6,560.64,93.3,86.3,43.38,0.53,0.12,
1999,19,-117.08846626,46.77882662,,SW,0,,0,0,,,,,,,,,42.76,2.472,0.1893,2.032,1109.4,,423.8,409.23,77.4,74,43.24,0.49,0.1,
1999,20,-117.088064,46.778867,,SW,0,,0,0,,,,,,,,,42.22,2.465,0.1808,2.032,738.9,,409.3,394.62,66.7,63.6,44.23,0.43,0.08,
1999,21,-117.087646,46.778842,,SW,0,,0,0,,,,,,,,,42.16,2.226,0.1666,2.032,1177.3,,562,539.39,87.3,82.6,42.51,0.3,0.07,
1999,22,-117.087228,46.779015,,SW,0,,0,0,,,,,,,,,43.03,2.31,0.169,2.032,873.5,,342.1,330.12,70.3,67.8,44.2,0.32,0.05,
1999,23,-117.08683097,46.77900278,,SW,0,,0,0,,,,,,,,,43.26,2.338,0.1771,2.032,1173.8,,437.5,420.74,99.2,89.3,43.35,0.48,0.07,
1999,24,-117.086392,46.779077,,SW,0,,0,0,,,,,,,,,43.09,2.604,0.1934,2.032,1239,,489.9,471.08,93.8,84.9,43.57,0.52,0.08,
1999,25,-117.085974,46.779047,,SW,0,,0,0,,,,,,,,,40.87,2.104,0.1582,2.032,1685.1,,667.8,643.64,113.2,103.5,43.56,0.47,0.08,
1999,26,-117.085556,46.778952,,SW,0,,0,0,,,,,,,,,41.43,2.513,0.179,2.032,1677.9,,708.8,682.76,95.8,87.4,43.68,0.4,0.08,
1999,27,-117.08511704,46.77906282,,SW,0,,0,0,,,,,,,,,41.24,2.443,0.1813,2.032,1647.7,,692.4,667.38,105.9,97.37,44.15,0.4,0.08,
1999,28,-117.08472,46.778918,,SW,0,,0,0,,,,,,,,,41.84,2.582,0.1789,2.032,1491.6,,592.6,570.8,88.4,81.6,44.07,0.43,0.07,
1999,29,-117.084302,46.779007,,SW,0,,0,0,,,,,,,,,41.58,2.381,0.1731,2.032,1486.3,,587.9,565.26,104,96,43.8,0.46,0.07,
1999,30,-117.083884,46.77896,,SW,0,,0,0,,,,,,,,,41.25,2.558,0.1805,2.032,1393.8,,574.5,552.81,82.6,76.7,44.57,0.5,0.07,
1999,31,-117.083466,46.779023,,SW,0,,0,0,,,,,,,,,42.24,2.563,0.1796,2.032,1499.4,,616.2,593.68,93.6,86.7,44.58,0.43,0.08,
1999,32,-117.083048,46.778944,,SW,0,,0,0,,,,,,,,,41.45,2.329,0.1709,2.032,1198.4,,518.2,499.97,102.6,95.4,44.55,0.33,0.07,
1999,33,-117.08263,46.779013,,SW,0,,0,0,,,,,,,,,41.73,2.94,0.203,2.032,909.3,,316.1,305.09,86.9,80.8,43.51,0.56,0.08,
1999,34,-117.082212,46.77905,,SW,0,,0,0,,,,,,,,,41.68,2.201,0.1637,2.032,1349.8,,553.9,534.61,108.5,101.5,43.32,0.31,0.06,
1999,35,-117.081794,46.778852,,SW,0,,0,0,,,,,,,,,41.63,2.318,0.177,2.032,1196.1,,390.2,375.12,122.8,114.2,44.28,0.35,0.07,
1999,36,-117.08140584,46.77900737,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,37,-117.080958,46.778993,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,38,-117.08054,46.778849,,SW,0,,0,0,,,,,,,,,41.22,2.1,0.1706,2.032,1594.1,,686.8,660.93,114.8,106.5,42.84,0.33,0.09,
1999,39,-117.080122,46.779112,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,40,-117.079704,46.779083,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,41,-117.079286,46.779047,,SW,0,,0,0,,,,,,,,,41.01,2.359,0.1755,2.032,1839.5,,706.2,686.02,92.3,85.3,43.27,0.49,0.1,
1999,42,-117.08870619,46.77911338,,SW,0,,0,0,,,,,,,,,41.13,2.432,0.1752,2.032,1693.5,,729,706.69,88.2,83.8,43.27,0.42,0.09,
1999,43,-117.088318,46.779153,,SW,0,,0,0,,,,,,,,,41.41,2.383,0.1741,2.032,1712.8,,739.6,714.13,106,94.1,43.39,0.34,0.07,
1999,44,-117.0879,46.779128,,SW,0,,0,0,,,,,,,,,41.43,2.341,0.1765,2.032,1182.3,,480.5,462.95,95.5,90.8,43.75,0.41,0.08,
1999,45,-117.08746351,46.77928833,,SW,0,,0,0,,,,,,,,,42.86,2.775,0.1937,2.032,1012.2,,386.8,371.82,70.8,68.9,43.77,0.44,0.07,
1999,46,-117.087064,46.779278,,SW,0,,0,0,,,,,,,,,40.84,2.215,0.165,2.032,1110.6,,462.8,444.82,85.9,84.5,43.43,0.32,0.07,
1999,47,-117.086646,46.779363,,SW,0,,0,0,,,,,,,,,41.68,2.503,0.1827,2.032,1258.7,,537.2,518.5,84.6,81.22,44.18,0.38,0.08,
1999,48,-117.086228,46.779333,,SW,0,,0,0,,,,,,,,,42.01,2.282,0.1693,2.032,1573,,682.5,659.78,95.4,91.8,44.24,0.29,0.06,
1999,49,-117.08581,46.779238,,SW,0,,0,0,,,,,,,,,41.81,2.43,0.1786,2.032,2004.1,,794.5,768.08,106.3,101.4,46.56,0.44,0.1,
1999,50,-117.08533553,46.77932123,,SW,0,,0,0,,,,,,,,,41.55,2.562,0.1905,2.032,1874.4,,800.5,774.49,120.9,112,41.16,0.34,0.08,
1999,51,-117.08496351,46.77919681,,SW,0,,0,0,,,,,,,,,41.34,2.39,0.1723,2.032,1466.9,,595.6,576.05,94.8,90.9,43.53,0.37,0.07,
1999,52,-117.084556,46.779293,,SW,0,,0,0,,,,,,,,,41.83,2.468,0.1739,2.032,1949,,758.9,732.8,120.5,111.4,44.11,0.39,0.07,
1999,53,-117.084138,46.779246,,SW,0,,0,0,,,,,,,,,49.12,2.233,0.2218,2.032,1697.3,,681.22,656.87,112.1,105.9,43.4,0.37,0.07,
1999,54,-117.08372,46.779309,,SW,0,,0,0,,,,,,,,,49.33,2.017,0.21,2.032,1377.3,,541.5,522.56,126.7,113.8,44.11,0.39,0.06,
1999,55,-117.083302,46.77923,,SW,0,,0,0,,,,,,,,,49.32,2.219,0.2268,2.032,1248,,495,478.17,99.2,96.3,44.05,0.42,0.07,
1999,56,-117.08290191,46.77931128,,SW,0,,0,0,,,,,,,,,45.89,2.178,0.2226,2.032,1638.7,,688.1,664.18,91.5,86.8,46.89,0.47,0.07,
1999,57,-117.082466,46.779336,,SW,0,,0,0,,,,,,,,,43.58,2.438,0.2409,2.032,1228.3,,481.9,464.91,92.7,90.9,43.89,0.5,0.07,
1999,58,-117.082048,46.779138,,SW,0,,0,0,,,,,,,,,43.54,2.311,0.21560000000000001,2.032,1445.5,,612.7,591.85,104.2,103.5,43.42,0.32,0.06,
1999,59,-117.08160015,46.77925244,,SW,0,,0,0,,,,,,,,,43.33,2.028,0.2038,2.032,1017,,340.9,328.83,80.5,78.8,42.79,0.36,0.06,
1999,60,-117.081212,46.779279,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,61,-117.080794,46.779135,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,62,-117.08039988,46.77941847,,SW,0,,0,0,,,,,,,,,36.82,2.322,0.157,2.032,1308.6,,449.3,434.32,86.3,84.5,43.91,0.48,0.08,
1999,63,-117.079958,46.779369,,SW,0,,0,0,,,,,,,,,43.92,2.497,0.1852,2.032,1587.5,,654.9,632.28,91,89.5,43.46,0.39,0.08,
1999,64,-117.07954,46.779333,,SW,0,,0,0,,,,,,,,,42.38,2.659,0.1884,2.032,1491.5,,586.9,567.58,89.5,88.7,43.49,0.4,0.09,
1999,65,-117.079122,46.779254,,SW,0,,0,0,,,,,,,,,41.98,2.353,0.1714,2.032,1513.9,,654.7,632.04,98.5,95.4,43.68,0.32,0.07,
1999,66,-117.07873385,46.77928646,,SW,0,,0,0,,,,,,,,,42.11,2.538,0.1845,2.032,1561.2,,620.2,599.49,85.4,82.1,43.65,0.39,0.06,
1999,67,-117.078286,46.779271,,SW,0,,0,0,,,,,,,,,41.88,2.569,0.1844,2.032,1821.7,,746.8,721.36,92.3,89,44.04,0.45,0.08,
1999,68,-117.088231,46.779439000000004,,SW,0,,0,0,,,,,,,,,41.7,2.456,0.1816,2.032,1441.1,,636.7,615.07,103.5,96.5,44.3,0.4,0.1,
1999,69,-117.087813,46.779414,,SW,0,,0,0,,,,,,,,,42.9,2.351,0.1714,2.032,1173.4,,507.9,490.93,86.6,82.4,44.92,0.32,0.07,
