ID,Verb,Variable,NewVal,Comment,Reviewer
2008_141,Update,ResidueMassWetSubsample,,"there is a residue sub sample dry weight for this sample, but no residue subsample wet or corresponding total residue weights?",Bryan Carlson
CF11GPWW_108_15-E,Update,GrainTestWeight,75.6,NIR note: 75.6`,Bryan Carlson
CF11GPSW_121_29-E,Flag,GrainMoisture,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_121_29-E,Flag,GrainProtein,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_121_29-E,Flag,GrainStarch,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_121_29-E,Flag,GrainWGlutDM,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_121_29-E,Flag,GrainTestWeight,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_147_29-F,Flag,GrainMoisture,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_147_29-F,Flag,GrainProtein,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_147_29-F,Flag,GrainStarch,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_147_29-F,Flag,GrainWGlutDM,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_147_29-F,Flag,GrainTestWeight,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
GPHY12_WW_A5_2_6-A,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A6_4_8-A,Flag,GrainMassWet,,Sample note: Mice,Bryan Carlson
GPHY12_WW_B4_9_13-A,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A4_22_5-B,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_B4_30_13-B,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A3_45_5-C,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A3_46_6-C,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A5_48_8-C,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A2_69_4-D,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A4_73_8-D,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A5_101_9-E,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_SW_B1_103_11-E,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
