ID,Verb,Variable,NewVal,Comment,Reviewer
2001_82,Update,ResidueMassAirDrySubsample,,Value for ResidueMassWetSubsample so assume 0 value here is actually null,Bryan Carlson
2007_86,Update,CropExists,0,wet spot. This spot was not planted,Bryan Carlson
2007_4,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_25,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_49,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_74,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_75,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_102,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_129,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_155,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_181,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_206,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_207,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_231,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_329,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_330,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_354,Update,GrainMassAirDryInGrainSample,,Value for GrainMassWetInGrainSample so assume 0 value here is actually null,Bryan Carlson
2007_304,Update,CropExists,0,crop Failure,Bryan Carlson
2008_141,Flag,ResidueMassWetSubsample,,"there is a residue sub sample dry weight for this sample, but no residue subsample wet or corresponding total residue weights?",Bryan Carlson
2008_325,Update,ResidueMassAirDrySubsample,,Dry value is greater than wet value causing a negative moisture proportion. Setting to null so dry mass is calculated using mean moisture proportion,Bryan Carlson
CF11GPWW_108_15-E,Update,GrainTestWeight,75.6,NIR note: 75.6`,Bryan Carlson
CF11GPSW_121_29-E,Flag,GrainMoisture,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_121_29-E,Flag,GrainProtein,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_121_29-E,Flag,GrainStarch,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_121_29-E,Flag,GrainWGlutDM,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_121_29-E,Flag,GrainTestWeight,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_147_29-F,Flag,GrainMoisture,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_147_29-F,Flag,GrainProtein,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_147_29-F,Flag,GrainStarch,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_147_29-F,Flag,GrainWGlutDM,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
CF11GPSW_147_29-F,Flag,GrainTestWeight,,NIR note: MORE SAMPLE REQUIRED,Bryan Carlson
GPHY12_WW_A5_2_6-A,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A6_4_8-A,Flag,GrainMassWet,,Sample note: Mice,Bryan Carlson
GPHY12_WW_B4_9_13-A,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A4_22_5-B,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_B4_30_13-B,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A3_45_5-C,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A3_46_6-C,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A5_48_8-C,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A2_69_4-D,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A4_73_8-D,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A5_101_9-E,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_SW_B1_103_11-E,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_B4_107_15-E,Flag,GrainTestWeight,,TestWeight note: not enough sample ,Bryan Carlson
GPHY12_SW_C2_139_21-F,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A2_150_7-G,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_B4_160_17-G,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A1_175_6-H,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A1_176_7-H,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A4_179_10-H,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_SW_B2_158_15-G,Flag,GrainTestWeight,,TestWeight note: not enough sample ,Bryan Carlson
GPHY12_WW_A1_201_8-I,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A2_202_9-I,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_SW_C2_217_24-I,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A3_227_9-J,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A6_231_13-J,Flag,GrainMassWet,,Sample note: Mice,Bryan Carlson
GPHY12_WW_A1_249_9-K,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A3_251_11-K,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A6_255_15-K,Flag,GrainMassWet,,Sample note: Mice,Bryan Carlson
GPHY12_WW_A1_272_9-L,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A3_274_11-L,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A6_278_15-L,Flag,GrainMassWet,,Sample note: Mice,Bryan Carlson
GPHY12_WW_A1_348_11-O,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
GPHY12_WW_A4_351_14-O,Flag,GrainMassWet,,Sample note: mice,Bryan Carlson
