HarvestYear,ID2,Longitude,Latitude,SampleID,Crop,GrainSampleArea_P1,GrainMassWet_P1,GrainMassWetInGrainSample_P1,GrainMassWetInGrainSample_P2,GrainMassOvenDryInGrainSample_P1,GrainMassOvenDryInGrainSample_P2,GrainMassAirDry_P1,GrainMassOvenDry_P1,GrainMassOvenDry_P2,GrainMoistureProportion_P2,GrainMoisture_P1,GrainProtein_P1,GrainStarch_P1,GrainWGlutDM_P1,GrainOilDM_P1,GrainTestWeight_P1,GrainCarbon_P1,GrainNitrogen_P1,GrainSulfur_P1,BiomassSampleArea_P1,BiomassWet_P1,BiomassAirDry_P1,GrainMassWetInBiomassSample_P1,GrainMassOvenDryInBiomassSample_P1,GrainMassOvenDryInBiomassSample_P2,ResidueMassWetSubsample_P1,ResidueMassOvenDrySubsample_P1,ResidueMoistureProportionSubsample_P2,ResidueCarbon_P1,ResidueNitrogen_P1,ResidueSulfur_P1,Comments_P1,GrainYieldWet_P2,GrainYieldAirDry_P2,GrainYieldOvenDry_P2,ResidueMassWet_P2,ResidueMassOvenDry_P2,ResidueMassWetPerArea_P2,ResidueMassOvenDryPerArea_P2,ResidueMassAirDry_P2,ResidueMassAirDryPerArea_P2
1999,1,-117.087514,46.778729,,SW,0.0,465.5,0.0,,0.0,,,448.74,,0.03600429645542425,,,,,,,44.06,2.387,0.1919,2.032,1155.7,,465.5,448.74,,71.9,67.9,0.05563282336578581,44.1,0.44,0.06,,229.08464566929135,,220.83661417322836,690.2,651.8022253129346,339.6653543307087,320.7688116697513,,
1999,2,-117.08706455,46.77869163,,SW,0.0,511.9,0.0,,0.0,,,493.24,,0.036452432115647526,,,,,,,45.26,2.602,0.2053,2.032,1355.1,,511.9,493.24,,106.1,100.1,0.05655042412818097,43.3,0.45,0.07,,251.91929133858267,,242.73622047244095,843.1999999999999,795.5166823751177,414.9606299212598,391.49443030271544,,
1999,3,-117.086678,46.778791,,SW,0.0,542.1,0.0,,0.0,,,518.86,,0.04287031912931195,,,,,,,44.52,2.489,0.19,2.032,1323.9,,542.1,518.86,,96.3,91.7,0.047767393561786026,43.38,0.41,0.08,,266.7814960629921,,255.34448818897638,781.8000000000001,744.4554517133957,384.744094488189,366.36587190619866,,
1999,4,-117.08626,46.778761,,SW,0.0,610.0,0.0,,0.0,,,587.61,,0.03670491803278686,,,,,,,44.64,2.432,0.18,2.032,1483.8,,610.0,587.61,,109.9,104.5,0.04913557779799823,43.41,0.29,0.06,,300.1968503937008,,289.1781496062992,873.8,830.8653321201091,430.0196850393701,408.89041935044736,,
1999,5,-117.085842,46.778666,,SW,0.0,718.1,0.0,,0.0,,,693.97,,0.033602562317226005,,,,,,,44.27,2.599,0.1874,2.032,1719.9,,718.1,693.97,,94.2,89.1,0.054140127388535124,40.93,0.43,0.07,,353.3956692913386,,341.5206692913386,1001.8000000000001,947.5624203821656,493.0118110236221,466.3200887707508,,
1999,6,-117.08541875,46.77877321,,SW,0.0,541.7,0.0,,0.0,,,522.21,,0.03597932434927083,,,,,,,42.84,2.33,0.1761,2.032,1309.9,,541.7,522.21,,85.0,80.5,0.052941176470588235,40.46,0.38,0.06,,266.5846456692914,,256.9931102362205,768.2,727.5305882352942,378.05118110236225,358.0367068087078,,
1999,7,-117.085006,46.778632,,SW,0.0,640.2,0.0,,0.0,,,616.96,,0.03630115588878477,,,,,,,42.3,2.525,0.1825,2.032,1395.8,,640.2,616.96,,94.3,89.5,0.050901378579003155,40.15,0.46,0.08,,315.0590551181103,,303.6220472440945,755.5999999999999,717.1389183457052,371.8503937007874,352.9226960362722,,
1999,8,-117.084588,46.778721,,SW,0.0,386.9,0.0,,0.0,,,372.85,,0.036314293098991875,,,,,,,41.98,2.177,0.1713,2.032,1040.6,,386.9,372.85,,96.7,92.2,0.04653567735263702,44.1,0.32,0.06,,190.4035433070866,,183.48917322834646,653.6999999999999,623.2796277145811,321.70275590551176,306.73210025323874,,
1999,9,-117.08417,46.778674,,SW,0.0,496.8,0.0,,0.0,,,478.84,,0.03615136876006449,,,,,,,41.32,2.357,0.1807,2.032,1500.4,,496.8,478.84,,93.1,88.1,0.05370569280343717,43.37,0.36,0.08,,244.48818897637796,,235.6496062992126,1003.6000000000001,949.7009667024706,493.89763779527567,467.3725229834993,,
1999,10,-117.083752,46.778737,,SW,0.0,468.0,0.0,,0.0,,,450.87,,0.03660256410256409,,,,,,,42.07,2.424,0.1853,2.032,1219.4,,468.0,450.87,,77.8,73.6,0.05398457583547562,43.74,0.5,0.08,,230.31496062992125,,221.88484251968504,751.4000000000001,710.8359897172237,369.7834645669292,349.82086108131085,,
1999,11,-117.083334,46.778658,,SW,0.0,508.1,0.0,,0.0,,,489.34,,0.03692186577445394,,,,,,,41.72,2.406,0.1831,2.032,1252.5,,508.1,489.34,,74.9,69.9,0.06675567423230974,43.21,0.69,0.11,,250.0492125984252,,240.81692913385825,744.4,694.7070761014686,366.33858267716533,341.8834035932424,,
1999,12,-117.08293984,46.77873108,,SW,0.0,508.1,0.0,,0.0,,,487.52,,0.04050383782719945,,,,,,,42.84,2.526,0.1856,2.032,1286.2,,508.1,487.52,,74.9,69.9,0.06675567423230974,44.32,0.4,0.07,,250.0492125984252,,239.92125984251967,778.1,726.1574098798399,382.9232283464567,357.3609300589763,,
1999,13,-117.082498,46.778764,,SW,0.0,530.2,0.0,,0.0,,,512.23,,0.03389287061486237,,,,,,,43.61,2.559,0.1895,2.032,1279.8,,530.2,512.23,,80.1,75.6,0.05617977528089888,42.32,0.43,0.08,,260.9251968503937,,252.08169291338584,749.5999999999999,707.4876404494381,368.89763779527556,348.1730514022825,,
1999,14,-117.08163216,46.77868863,,SW,0.0,540.4,0.0,,0.0,,,520.76,,0.03634344929681715,,,,,,,42.47,2.064,0.1558,2.032,1399.9,,540.4,520.76,,114.8,108.4,0.05574912891986056,42.04,0.31,0.06,,265.9448818897638,,256.2795275590551,859.5000000000001,811.58362369338,422.982283464567,399.40138961288386,,
1999,15,-117.081244,46.778707,,SW,0.0,539.9,0.0,,0.0,,,519.8,,0.037229116503056166,,,,,,,43.57,2.233,0.1599,2.032,1432.9,,539.9,519.8,,117.0,109.1,0.06752136752136757,43.11,0.33,0.06,,265.6988188976378,,255.80708661417322,893.0000000000001,832.7034188034189,439.46850393700794,409.79498956861164,,
1999,16,-117.080408,46.778826,,SW,0.0,702.7,0.0,,0.0,,,676.22,,0.03768322185854563,,,,,,,42.15,2.234,0.1706,2.032,1739.4,,702.7,676.22,,122.9,113.8,0.07404393816110666,43.92,0.44,0.08,,345.8169291338583,,332.78543307086613,1036.7,959.9386493083807,510.18700787401576,472.41075261239206,,
1999,17,-117.07999,46.778797,,SW,0.0,809.9,0.0,,0.0,,,775.04,,0.04304235090751946,,,,,,,42.21,2.37,0.1672,2.032,2065.4,,809.9,775.04,,129.3,123.6,0.0440835266821347,42.95,0.45,0.09,,398.5728346456693,,381.41732283464563,1255.5,1200.1531322505798,617.8641732283464,590.6265414618995,,
1999,18,-117.08888012,46.77895174,,SW,0.0,582.6,0.0,,0.0,,,560.64,,0.03769309989701345,,,,,,,41.54,2.802,0.1964,2.032,1419.4,,582.6,560.64,,93.3,86.3,0.07502679528403002,43.38,0.53,0.12,,286.71259842519686,,275.9055118110236,836.8000000000001,774.0175777063238,411.8110236220473,380.9141622570491,,
1999,19,-117.08846626,46.77882662,,SW,0.0,423.8,0.0,,0.0,,,409.23,,0.034379424256724855,,,,,,,42.76,2.472,0.1893,2.032,1109.4,,423.8,409.23,,77.4,74.0,0.04392764857881144,43.24,0.49,0.1,,208.56299212598427,,201.39271653543307,685.6000000000001,655.483204134367,337.4015748031497,322.58031699525935,,
1999,20,-117.088064,46.778867,,SW,0.0,409.3,0.0,,0.0,,,394.62,,0.03586611287564136,,,,,,,42.22,2.465,0.1808,2.032,738.9,,409.3,394.62,,66.7,63.6,0.046476761619190426,44.23,0.43,0.08,,201.42716535433073,,194.20275590551182,329.59999999999997,314.2812593703148,162.2047244094488,154.66597409956435,,
1999,21,-117.087646,46.778842,,SW,0.0,562.0,0.0,,0.0,,,539.39,,0.04023131672597867,,,,,,,42.16,2.226,0.1666,2.032,1177.3,,562.0,539.39,,87.3,82.6,0.05383734249713635,42.51,0.3,0.07,,276.5748031496063,,265.4478346456693,615.3,582.173883161512,302.8051181102362,286.5028952566496,,
1999,22,-117.087228,46.779015,,SW,0.0,342.1,0.0,,0.0,,,330.12,,0.03501900029231224,,,,,,,43.03,2.31,0.169,2.032,873.5,,342.1,330.12,,70.3,67.8,0.03556187766714083,44.2,0.32,0.05,,168.35629921259843,,162.46062992125985,531.4,512.5024182076813,261.51574803149606,252.21575699196916,,
1999,23,-117.08683097,46.77900278,,SW,0.0,437.5,0.0,,0.0,,,420.74,,0.03830857142857141,,,,,,,43.26,2.338,0.1771,2.032,1173.8,,437.5,420.74,,99.2,89.3,0.09979838709677424,43.35,0.48,0.07,,215.3051181102362,,207.05708661417324,736.3,662.818447580645,362.3523622047244,326.1901808959867,,
1999,24,-117.086392,46.779077,,SW,0.0,489.9,0.0,,0.0,,,471.08,,0.03841600326597264,,,,,,,43.09,2.604,0.1934,2.032,1239.0,,489.9,471.08,,93.8,84.9,0.09488272921108733,43.57,0.52,0.08,,241.09251968503935,,231.8307086614173,749.1,678.0233475479745,368.65157480314963,333.6729072578614,,
