Year,ID2,Crop,total grain yield dry (grams),GrainMassFinal,Grain Nitrogen %..19,GrainNitrogen,GrainNUbbie,GrainNUnger,GrainNUbbieRmOutlier,GrainNUngerRmOutlier,GrainNFinal,Grain Carbon %..21,GrainCarbon,GrainCUbbie,GrainCUnger,GrainCUbbieRmOutlier,GrainCUngerRmOutlier,GrainCFinal
1999,1,SW,448.74,448.74,2.387,2.387,2.387,2.387,2.387,2.387,2.387,44.06,44.06,44.06,44.06,44.06,44.06,44.06
1999,2,SW,493.24,493.24,2.602,2.602,2.602,2.602,2.602,2.602,2.602,45.26,45.26,45.26,45.26,,,
1999,3,SW,518.86,518.86,2.489,2.489,2.489,2.489,2.489,2.489,2.489,44.52,44.52,44.52,44.52,44.52,44.52,44.52
1999,4,SW,587.61,587.61,2.432,2.432,2.432,2.432,2.432,2.432,2.432,44.64,44.64,44.64,44.64,44.64,44.64,44.64
1999,5,SW,693.97,693.97,2.599,2.599,2.599,2.599,2.599,2.599,2.599,44.27,44.27,44.27,44.27,44.27,44.27,44.27
1999,6,SW,522.21,522.21,2.33,2.33,2.33,2.33,2.33,2.33,2.33,42.84,42.84,42.84,42.84,42.84,42.84,42.84
1999,7,SW,616.96,616.96,2.525,2.525,2.525,2.525,2.525,2.525,2.525,42.3,42.3,42.3,42.3,42.3,42.3,42.3
1999,8,SW,372.85,372.85,2.177,2.177,2.177,2.177,2.177,2.177,2.177,41.98,41.98,41.98,41.98,41.98,41.98,41.98
1999,9,SW,478.84,478.84,2.357,2.357,2.357,2.357,2.357,2.357,2.357,41.32,41.32,41.32,41.32,41.32,41.32,41.32
1999,10,SW,450.87,450.87,2.424,2.424,2.424,2.424,2.424,2.424,2.424,42.07,42.07,42.07,42.07,42.07,42.07,42.07
1999,11,SW,489.34,489.34,2.406,2.406,2.406,2.406,2.406,2.406,2.406,41.72,41.72,41.72,41.72,41.72,41.72,41.72
1999,12,SW,487.52,487.52,2.526,2.526,2.526,2.526,2.526,2.526,2.526,42.84,42.84,42.84,42.84,42.84,42.84,42.84
1999,13,SW,512.23,512.23,2.559,2.559,2.559,2.559,2.559,2.559,2.559,43.61,43.61,43.61,43.61,43.61,43.61,43.61
1999,14,SW,520.76,520.76,2.064,2.064,2.064,2.064,2.064,2.064,2.064,42.47,42.47,42.47,42.47,42.47,42.47,42.47
