Year,ID2,Crop,Grain Nitrogen %..19,GrainNitrogen,GrainNUbbie,GrainNUnger,GrainNUbbieRmOutlier,GrainNUngerRmOutlier,GrainNFinal
1999,1,SW,2.387,2.387,2.387,2.387,2.387,2.387,2.387
1999,2,SW,2.602,2.602,2.602,2.602,2.602,2.602,2.602
1999,3,SW,2.489,2.489,2.489,2.489,2.489,2.489,2.489
1999,4,SW,2.432,2.432,2.432,2.432,2.432,2.432,2.432
1999,5,SW,2.599,2.599,2.599,2.599,2.599,2.599,2.599
1999,6,SW,2.33,2.33,2.33,2.33,2.33,2.33,2.33
1999,7,SW,2.525,2.525,2.525,2.525,2.525,2.525,2.525
1999,8,SW,2.177,2.177,2.177,2.177,2.177,2.177,2.177
1999,9,SW,2.357,2.357,2.357,2.357,2.357,2.357,2.357
1999,10,SW,2.424,2.424,2.424,2.424,2.424,2.424,2.424
1999,11,SW,2.406,2.406,2.406,2.406,2.406,2.406,2.406
1999,12,SW,2.526,2.526,2.526,2.526,2.526,2.526,2.526
1999,13,SW,2.559,2.559,2.559,2.559,2.559,2.559,2.559
1999,14,SW,2.064,2.064,2.064,2.064,2.064,2.064,2.064
1999,15,SW,2.233,2.233,2.233,2.233,2.233,2.233,2.233
1999,16,SW,2.234,2.234,2.234,2.234,2.234,2.234,2.234
1999,17,SW,2.37,2.37,2.37,2.37,2.37,2.37,2.37
1999,18,SW,2.802,2.802,2.802,2.802,2.802,2.802,2.802
1999,19,SW,2.472,2.472,2.472,2.472,2.472,2.472,2.472
1999,20,SW,2.465,2.465,2.465,2.465,2.465,2.465,2.465
1999,21,SW,2.226,2.226,2.226,2.226,2.226,2.226,2.226
1999,22,SW,2.31,2.31,2.31,2.31,2.31,2.31,2.31
1999,23,SW,2.338,2.338,2.338,2.338,2.338,2.338,2.338
1999,24,SW,2.604,2.604,2.604,2.604,2.604,2.604,2.604
1999,25,SW,2.104,2.104,2.104,2.104,2.104,2.104,2.104
1999,26,SW,2.513,2.513,2.513,2.513,2.513,2.513,2.513
1999,27,SW,2.443,2.443,2.443,2.443,2.443,2.443,2.443
1999,28,SW,2.582,2.582,2.582,2.582,2.582,2.582,2.582
1999,29,SW,2.381,2.381,2.381,2.381,2.381,2.381,2.381
1999,30,SW,2.558,2.558,2.558,2.558,2.558,2.558,2.558
1999,31,SW,2.563,2.563,2.563,2.563,2.563,2.563,2.563
1999,32,SW,2.329,2.329,2.329,2.329,2.329,2.329,2.329
1999,33,SW,2.94,2.94,2.94,2.94,2.94,2.94,2.94
1999,34,SW,2.201,2.201,2.201,2.201,2.201,2.201,2.201
1999,35,SW,2.318,2.318,2.318,2.318,2.318,2.318,2.318
1999,36,SW,NA,0,NA,NA,NA,NA,NA
1999,37,SW,NA,0,NA,NA,NA,NA,NA
1999,38,SW,2.1,2.1,2.1,2.1,2.1,2.1,2.1
1999,39,SW,NA,0,NA,NA,NA,NA,NA
1999,40,SW,NA,0,NA,NA,NA,NA,NA
1999,41,SW,2.359,2.359,2.359,2.359,2.359,2.359,2.359
1999,42,SW,2.432,2.432,2.432,2.432,2.432,2.432,2.432
1999,43,SW,2.383,2.383,2.383,2.383,2.383,2.383,2.383
1999,44,SW,2.341,2.341,2.341,2.341,2.341,2.341,2.341
1999,45,SW,2.775,2.775,2.775,2.775,2.775,2.775,2.775
1999,46,SW,2.215,2.215,2.215,2.215,2.215,2.215,2.215
1999,47,SW,2.503,2.503,2.503,2.503,2.503,2.503,2.503
1999,48,SW,2.282,2.282,2.282,2.282,2.282,2.282,2.282
1999,49,SW,2.43,2.43,2.43,2.43,2.43,2.43,2.43
1999,50,SW,2.562,2.562,2.562,2.562,2.562,2.562,2.562
1999,51,SW,2.39,2.39,2.39,2.39,2.39,2.39,2.39
1999,52,SW,2.468,2.468,2.468,2.468,2.468,2.468,2.468
1999,53,SW,2.233,2.233,2.233,2.233,2.233,2.233,2.233
1999,54,SW,2.017,2.017,2.017,2.017,2.017,2.017,2.017
