HarvestYear,Crop,Longitude,Latitude,ID2,GrainYieldDry,GrainCarbon,GrainNitrogen,GrainSulfur,ResidueMassDry,ResidueCarbon,ResidueNitrogen,ResidueSulfur,Comments
1999,SW,-117.087514,46.778729,1,220.83661417322836,44.06,2.387,0.1919,320.7688116697513,44.1,0.44,0.06,
1999,SW,-117.08706455,46.77869163,2,242.73622047244095,45.26,2.602,0.2053,391.49443030271544,43.3,0.45,0.07,
1999,SW,-117.086678,46.778791,3,255.34448818897638,44.52,2.489,0.19,366.36587190619866,43.38,0.41,0.08,
1999,SW,-117.08626,46.778761,4,289.1781496062992,44.64,2.432,0.18,408.89041935044736,43.41,0.29,0.06,
1999,SW,-117.085842,46.778666,5,341.5206692913386,44.27,2.599,0.1874,466.3200887707508,40.93,0.43,0.07,
1999,SW,-117.08541875,46.77877321,6,256.9931102362205,42.84,2.33,0.1761,358.0367068087077,40.46,0.38,0.06,
1999,SW,-117.085006,46.778632,7,303.6220472440945,42.3,2.525,0.1825,352.9226960362722,40.15,0.46,0.08,
1999,SW,-117.084588,46.778721,8,183.48917322834646,41.98,2.177,0.1713,306.73210025323874,44.1,0.32,0.06,
1999,SW,-117.08417,46.778674,9,235.6496062992126,41.32,2.357,0.1807,467.3725229834993,43.37,0.36,0.08,
1999,SW,-117.083752,46.778737,10,221.88484251968504,42.07,2.424,0.1853,349.82086108131085,43.74,0.5,0.08,
1999,SW,-117.083334,46.778658,11,240.81692913385825,41.72,2.406,0.1831,341.8834035932424,43.21,0.69,0.11,
1999,SW,-117.08293984,46.77873108,12,239.92125984251967,42.84,2.526,0.1856,357.36093005897624,44.32,0.4,0.07,
1999,SW,-117.082498,46.778764,13,252.08169291338584,43.61,2.559,0.1895,348.1730514022825,42.32,0.43,0.08,
1999,SW,-117.08163216,46.77868863,14,256.2795275590551,42.47,2.064,0.1558,399.4013896128838,42.04,0.31,0.06,
1999,SW,-117.081244,46.778707,15,255.80708661417322,43.57,2.233,0.1599,409.7949895686116,43.11,0.33,0.06,
1999,SW,-117.080408,46.778826,16,332.78543307086613,42.15,2.234,0.1706,472.41075261239206,43.92,0.44,0.08,
1999,SW,-117.07999,46.778797,17,381.41732283464563,42.21,2.37,0.1672,590.6265414618996,42.95,0.45,0.09,
1999,SW,-117.08888012,46.77895174,18,275.9055118110236,41.54,2.802,0.1964,380.9141622570491,43.38,0.53,0.12,
1999,SW,-117.08846626,46.77882662,19,201.39271653543307,42.76,2.472,0.1893,322.5803169952593,43.24,0.49,0.1,
1999,SW,-117.088064,46.778867,20,194.20275590551182,42.22,2.465,0.1808,154.66597409956435,44.23,0.43,0.08,
1999,SW,-117.087646,46.778842,21,265.4478346456693,42.16,2.226,0.1666,286.5028952566496,42.51,0.3,0.07,
1999,SW,-117.087228,46.779015,22,162.46062992125985,43.03,2.31,0.169,252.21575699196916,44.2,0.32,0.05,
1999,SW,-117.08683097,46.77900278,23,207.05708661417324,43.26,2.338,0.1771,326.1901808959867,43.35,0.48,0.07,
1999,SW,-117.086392,46.779077,24,231.8307086614173,43.09,2.604,0.1934,333.6729072578614,43.57,0.52,0.08,
1999,SW,-117.085974,46.779047,25,316.751968503937,40.87,2.104,0.1582,457.7404200634372,43.56,0.47,0.08,
1999,SW,-117.085556,46.778952,26,336.003937007874,41.43,2.513,0.179,435.1017334341559,43.68,0.4,0.08,
1999,SW,-117.08511704,46.77906282,27,328.43503937007875,41.24,2.443,0.1813,432.2602338039898,44.15,0.4,0.08,
1999,SW,-117.08472,46.778918,28,280.9055118110236,41.84,2.582,0.1789,408.3888552392488,44.07,0.43,0.07,
1999,SW,-117.084302,46.779007,29,278.17913385826773,41.58,2.381,0.1731,408.11629315566324,43.8,0.46,0.07,
1999,SW,-117.083884,46.77896,30,272.05216535433067,41.25,2.558,0.1805,374.39890326209223,44.57,0.5,0.07,
1999,SW,-117.083466,46.779023,31,292.1653543307086,42.24,2.563,0.1796,402.6044821320412,44.58,0.43,0.08,
1999,SW,-117.083048,46.778944,32,246.0482283464567,41.45,2.329,0.1709,311.25328083989507,44.55,0.33,0.07,
1999,SW,-117.08263,46.779013,33,150.14271653543307,41.73,2.94,0.203,271.4369852214963,43.51,0.56,0.08,
1999,SW,-117.082212,46.77905,34,263.0954724409449,41.68,2.201,0.1637,366.4131953263907,43.32,0.31,0.06,
1999,SW,-117.081794,46.778852,35,184.60629921259843,41.63,2.318,0.177,368.8291088512144,44.28,0.35,0.07,
1999,SW,-117.08140584,46.77900737,36,,,,,,,,,
1999,SW,-117.080958,46.778993,37,,,,,,,,,
1999,SW,-117.08054,46.778849,38,325.2608267716535,41.22,2.1,0.1706,414.22368412027765,42.84,0.33,0.09,
1999,SW,-117.080122,46.779112,39,,,,,,,,,
1999,SW,-117.079704,46.779083,40,,,,,,,,,
1999,SW,-117.079286,46.779047,41,337.6082677165354,41.01,2.359,0.1755,515.4286028100767,43.27,0.49,0.1,
1999,SW,-117.08870619,46.77911338,42,347.78051181102364,41.13,2.432,0.1752,450.97655203813804,43.27,0.42,0.09,
1999,SW,-117.088318,46.779153,43,351.44192913385825,41.41,2.383,0.1741,425.16955132966865,43.39,0.34,0.07,
1999,SW,-117.0879,46.779128,44,227.8297244094488,41.43,2.341,0.1765,328.3765510986519,43.75,0.41,0.08,
1999,SW,-117.08746351,46.77928833,45,182.98228346456693,42.86,2.775,0.1937,299.51607611548565,43.77,0.44,0.07,
1999,SW,-117.087064,46.779278,46,218.90748031496062,40.84,2.215,0.165,313.6034163511866,43.43,0.32,0.07,
1999,SW,-117.086646,46.779363,47,255.16732283464566,41.68,2.503,0.1827,340.8829298598314,44.18,0.38,0.08,
1999,SW,-117.086228,46.779333,48,324.69488188976374,42.01,2.282,0.1693,421.7008988263259,44.24,0.29,0.06,
1999,SW,-117.08581,46.779238,49,377.99212598425197,41.81,2.43,0.1786,567.8357938089348,46.56,0.44,0.1,
1999,SW,-117.08533553,46.77932123,50,381.1466535433071,41.55,2.562,0.1905,489.5892355887276,41.16,0.34,0.08,
1999,SW,-117.08496351,46.77919681,51,283.48917322834643,41.34,2.39,0.1723,411.1493010565136,43.53,0.37,0.07,
1999,SW,-117.084556,46.779293,52,360.6299212598425,41.83,2.468,0.1739,541.4494233345313,44.11,0.39,0.07,
1999,SW,-117.084138,46.779246,53,323.2627952755906,49.12,2.233,0.2218,472.38331214396595,43.4,0.37,0.07,
1999,SW,-117.08372,46.779309,54,257.1653543307086,49.33,2.017,0.21,369.44033584199764,44.11,0.39,0.06,
1999,SW,-117.083302,46.77923,55,235.3198818897638,49.32,2.219,0.2268,359.7376452565405,44.05,0.42,0.07,
1999,SW,-117.08290191,46.77931128,56,326.8602362204724,45.89,2.178,0.2226,443.78512112215486,46.89,0.47,0.07,
1999,SW,-117.082466,46.779336,57,228.7942913385827,43.58,2.438,0.2409,360.1903524195398,43.89,0.5,0.07,
1999,SW,-117.082048,46.779138,58,291.2647637795276,43.54,2.311,0.21560000000000001,407.0892589961763,43.42,0.32,0.06,
1999,SW,-117.08160015,46.77925244,59,161.8257874015748,43.33,2.028,0.2038,325.69985816990265,42.79,0.36,0.06,
1999,SW,-117.081212,46.779279,60,,,,,,,,,
1999,SW,-117.080794,46.779135,61,,,,,,,,,
1999,SW,-117.08039988,46.77941847,62,213.74015748031496,36.82,2.322,0.157,414.06356921925897,43.91,0.48,0.08,
1999,SW,-117.079958,46.779369,63,311.1614173228346,43.92,2.497,0.1852,451.3914727005278,43.46,0.39,0.08,
1999,SW,-117.07954,46.779333,64,279.3208661417323,42.38,2.659,0.1884,441.19792812211324,43.49,0.4,0.09,
