"Year","Project","Crop","Sample Location ID","Column","Row2","Point Number","Point/Plot Treatment","Sample Location Easting","Sample Location Northing","Grain Carbon %","Grain Sulfur %","Grain Nitrogen %","Non-Residue Grain Sample Area (square meters)","Non-Residue Grain Wet Weight (grams)","Non-Residue grain dry weight (grams)","Grain Nitrogen %__1","Grain Sulfur %__1","Grain Carbon %__1","Crop__1","Residue Sample Area (square meters)","Residue plus Grain Wet Weight (grams)","Residue sample Grain Wet Weight (grams)","Residue sample Grain Dry Weight (grams)","Total Residue Wet Weight (grams)","Residue Sub-Sample Wet Weight (grams)","Residue Sub-Sample Dry Weight (grams)","Residue Nitrogen %","Residue Sulfur %","Residue Carbon %","Grain Harvest Comments","Residue Sample Comments","total area harvested (M2)","total grain yield wet(grams)","total grain yield dry (grams)","total grain yield wet (grams/M2)","total grain yield dry(grams/M2)","X","Y","ID2","Strip","Field"
1999,"grid points","spring wheat",1,5,"A",,,493319.28016,5180579.26178998,44.06,0.1919,2.387,0,0,0,2.387,0.1919,44.06,"spring wheat",2.032,1155.7,465.5,448.74,690.2,71.9,67.9,0.44,0.06,44.1,,,2.032,465.5,448.74,229.084645669291,220.836614173228,-117.087514,46.778729,1,4,"A"
1999,"grid points","spring wheat",2,6,"A",,,493353.586032,5180575.07118,45.26,0.2053,2.602,0,0,0,2.602,0.2053,45.26,"spring wheat",2.032,1355.1,511.9,493.24,843.2,106.1,100.1,0.45,0.07,43.3,,,2.032,511.9,493.24,251.919291338583,242.736220472441,-117.08706455,46.77869163,2,5,"A"
1999,"grid points","spring wheat",3,7,"A",,,493383.107047,5180586.08067,44.52,0.19,2.489,0,0,0,2.489,0.19,44.52,"spring wheat",2.032,1323.9,542.1,518.86,781.8,96.3,91.7,0.41,0.08,43.38,,,2.032,542.1,518.86,266.781496062992,255.344488188976,-117.086678,46.778791,3,5,"A"
1999,"grid points","spring wheat",4,8,"A",,,493415.012999,5180582.71191,44.64,0.18,2.432,0,0,0,2.432,0.18,44.64,"spring wheat",2.032,1483.8,610,587.61,873.8,109.9,104.5,0.29,0.06,43.41,,,2.032,610,587.61,300.196850393701,289.178149606299,-117.08626,46.778761,4,6,"A"
1999,"grid points","spring wheat",5,9,"A",,,493446.911100998,5180572.1204,44.27,0.1874,2.599,0,0,0,2.599,0.1874,44.27,"spring wheat",2.032,1719.9,718.1,693.97,1001.8,94.2,89.1,0.43,0.07,40.93,,,2.032,718.1,693.97,353.395669291339,341.520669291339,-117.085842,46.778666,5,1,"B"
1999,"grid points","spring wheat",6,10,"A",,,493479.234873,5180583.99851,42.84,0.1761,2.33,0,0,0,2.33,0.1761,42.84,"spring wheat",2.032,1309.9,541.7,522.21,768.2,85,80.5,0.38,0.06,40.46,,,2.032,541.7,522.21,266.584645669291,256.993110236221,-117.08541875,46.77877321,6,2,"B"
1999,"grid points","spring wheat",7,11,"A",,,493510.726382998,5180568.27290998,42.3,0.1825,2.525,0,0,0,2.525,0.1825,42.3,"spring wheat",2.032,1395.8,640.2,616.96,755.6,94.3,89.5,0.46,0.08,40.15,,,2.032,640.2,616.96,315.05905511811,303.622047244095,-117.085006,46.778632,7,3,"B"
1999,"grid points","spring wheat",8,12,"A",,,493542.646726,5180578.12836,41.98,0.1713,2.177,0,0,0,2.177,0.1713,41.98,"spring wheat",2.032,1040.6,386.9,372.85,653.7,96.7,92.2,0.32,0.06,44.1,,,2.032,386.9,372.85,190.403543307087,183.489173228346,-117.084588,46.778721,8,3,"B"
1999,"grid points","spring wheat",9,13,"A",,,493574.550785998,5180572.87138,41.32,0.1807,2.357,0,0,0,2.357,0.1807,41.32,"spring wheat",2.032,1500.4,496.8,478.84,1003.6,93.1,88.1,0.36,0.08,43.37,,,2.032,496.8,478.84,244.488188976378,235.649606299213,-117.08417,46.778674,9,4,"B"
1999,"grid points","spring wheat",10,14,"A",,,493606.467921998,5180579.83798998,42.07,0.1853,2.424,0,0,0,2.424,0.1853,42.07,"spring wheat",2.032,1219.4,468,450.87,751.4,77.8,73.6,0.5,0.08,43.74,,,2.032,468,450.87,230.314960629921,221.884842519685,-117.083752,46.778737,10,5,"B"
1999,"grid points","spring wheat",11,15,"A",,,493638.368259,5180571.02544,41.72,0.1831,2.406,0,0,0,2.406,0.1831,41.72,"spring wheat",2.032,1252.5,508.1,489.34,744.4,74.9,69.9,0.69,0.11,43.21,,,2.032,508.1,489.34,250.049212598425,240.816929133858,-117.083334,46.778658,11,6,"B"
1999,"grid points","spring wheat",12,16,"A",,,493668.466732,5180579.11395,42.84,0.1856,2.526,0,0,0,2.526,0.1856,42.84,"spring wheat",2.032,1286.2,508.1,487.52,778.1,74.9,69.9,0.4,0.07,44.32,,,2.032,508.1,487.52,250.049212598425,239.92125984252,-117.08293984,46.77873108,12,6,"B"
1999,"grid points","spring wheat",13,17,"A",,,493702.199994,5180582.73708,43.61,0.1895,2.559,0,0,0,2.559,0.1895,43.61,"spring wheat",2.032,1279.8,530.2,512.23,749.6,80.1,75.6,0.43,0.08,42.32,,,2.032,530.2,512.23,260.925196850394,252.081692913386,-117.082498,46.778764,13,1,"C"
1999,"grid points","spring wheat",14,19,"A",,,493768.288538,5180574.29337,42.47,0.1558,2.064,0,0,0,2.064,0.1558,42.47,"spring wheat",2.032,1399.9,540.4,520.76,859.5,114.8,108.4,0.31,0.06,42.04,,,2.032,540.4,520.76,265.944881889764,256.279527559055,-117.08163216,46.77868863,14,3,"C"
1999,"grid points","spring wheat",15,20,"A",,,493797.922326,5180576.30343998,43.57,0.1599,2.233,0,0,0,2.233,0.1599,43.57,"spring wheat",2.032,1432.9,539.9,519.8,893,117,109.1,0.33,0.06,43.11,,,2.032,539.9,519.8,265.698818897638,255.807086614173,-117.081244,46.778707,15,3,"C"
