"Year","Grain Carbon %","Grain Sulfur %","Grain Nitrogen %","Total Residue Wet Weight (grams)","Residue Sub-Sample Wet Weight (grams)","Residue Sub-Sample Dry Weight (grams)","Residue Nitrogen %","Residue Sulfur %","Residue Carbon %","Grain Harvest Comments","Residue Sample Comments","total grain yield dry(grams/M2)","X","Y","ID2","Crop"
1999,44.06,0.1919,2.387,690.2,71.9,67.9,0.44,0.06,44.1,,,220.836614173228,-117.087514,46.778729,1,"spring wheat"
1999,45.26,0.2053,2.602,843.2,106.1,100.1,0.45,0.07,43.3,,,242.736220472441,-117.08706455,46.77869163,2,"spring wheat"
1999,44.52,0.19,2.489,781.8,96.3,91.7,0.41,0.08,43.38,,,255.344488188976,-117.086678,46.778791,3,"spring wheat"
1999,44.64,0.18,2.432,873.8,109.9,104.5,0.29,0.06,43.41,,,289.178149606299,-117.08626,46.778761,4,"spring wheat"
1999,44.27,0.1874,2.599,1001.8,94.2,89.1,0.43,0.07,40.93,,,341.520669291339,-117.085842,46.778666,5,"spring wheat"
1999,42.84,0.1761,2.33,768.2,85,80.5,0.38,0.06,40.46,,,256.993110236221,-117.08541875,46.77877321,6,"spring wheat"
1999,42.3,0.1825,2.525,755.6,94.3,89.5,0.46,0.08,40.15,,,303.622047244095,-117.085006,46.778632,7,"spring wheat"
1999,41.98,0.1713,2.177,653.7,96.7,92.2,0.32,0.06,44.1,,,183.489173228346,-117.084588,46.778721,8,"spring wheat"
1999,41.32,0.1807,2.357,1003.6,93.1,88.1,0.36,0.08,43.37,,,235.649606299213,-117.08417,46.778674,9,"spring wheat"
1999,42.07,0.1853,2.424,751.4,77.8,73.6,0.5,0.08,43.74,,,221.884842519685,-117.083752,46.778737,10,"spring wheat"
1999,41.72,0.1831,2.406,744.4,74.9,69.9,0.69,0.11,43.21,,,240.816929133858,-117.083334,46.778658,11,"spring wheat"
1999,42.84,0.1856,2.526,778.1,74.9,69.9,0.4,0.07,44.32,,,239.92125984252,-117.08293984,46.77873108,12,"spring wheat"
1999,43.61,0.1895,2.559,749.6,80.1,75.6,0.43,0.08,42.32,,,252.081692913386,-117.082498,46.778764,13,"spring wheat"
1999,42.47,0.1558,2.064,859.5,114.8,108.4,0.31,0.06,42.04,,,256.279527559055,-117.08163216,46.77868863,14,"spring wheat"
1999,43.57,0.1599,2.233,893,117,109.1,0.33,0.06,43.11,,,255.807086614173,-117.081244,46.778707,15,"spring wheat"
1999,42.15,0.1706,2.234,1036.7,122.9,113.8,0.44,0.08,43.92,,,332.785433070866,-117.080408,46.778826,16,"spring wheat"
1999,42.21,0.1672,2.37,1255.5,129.3,123.6,0.45,0.09,42.95,,,381.417322834646,-117.07999,46.778797,17,"spring wheat"
1999,41.54,0.1964,2.802,836.8,93.3,86.3,0.53,0.12,43.38,,,275.905511811024,-117.08888012,46.77895174,18,"spring wheat"
1999,42.76,0.1893,2.472,685.6,77.4,74,0.49,0.1,43.24,,,201.392716535433,-117.08846626,46.77882662,19,"spring wheat"
1999,42.22,0.1808,2.465,329.6,66.7,63.6,0.43,0.08,44.23,,,194.202755905512,-117.088064,46.778867,20,"spring wheat"
1999,42.16,0.1666,2.226,615.3,87.3,82.6,0.3,0.07,42.51,,,265.447834645669,-117.087646,46.778842,21,"spring wheat"
1999,43.03,0.169,2.31,531.4,70.3,67.8,0.32,0.05,44.2,,,162.46062992126,-117.087228,46.779015,22,"spring wheat"
1999,43.26,0.1771,2.338,736.3,99.2,89.3,0.48,0.07,43.35,,,207.057086614173,-117.08683097,46.77900278,23,"spring wheat"
1999,43.09,0.1934,2.604,749.1,93.8,84.9,0.52,0.08,43.57,,,231.830708661417,-117.086392,46.779077,24,"spring wheat"
1999,40.87,0.1582,2.104,1017.3,113.2,103.5,0.47,0.08,43.56,,,316.751968503937,-117.085974,46.779047,25,"spring wheat"
1999,41.43,0.179,2.513,969.1,95.8,87.4,0.4,0.08,43.68,,,336.003937007874,-117.085556,46.778952,26,"spring wheat"
1999,41.24,0.1813,2.443,955.3,105.9,97.37,0.4,0.08,44.15,,,328.435039370079,-117.08511704,46.77906282,27,"spring wheat"
1999,41.84,0.1789,2.582,899,88.4,81.6,0.43,0.07,44.07,,,280.905511811024,-117.08472,46.778918,28,"spring wheat"
1999,41.58,0.1731,2.381,898.4,104,96,0.46,0.07,43.8,,,278.179133858268,-117.084302,46.779007,29,"spring wheat"
1999,41.25,0.1805,2.558,819.3,82.6,76.7,0.5,0.07,44.57,,,272.052165354331,-117.083884,46.77896,30,"spring wheat"
1999,42.24,0.1796,2.563,883.2,93.6,86.7,0.43,0.08,44.58,,,292.165354330709,-117.083466,46.779023,31,"spring wheat"
1999,41.45,0.1709,2.329,680.2,102.6,95.4,0.33,0.07,44.55,,,246.048228346457,-117.083048,46.778944,32,"spring wheat"
1999,41.73,0.203,2.94,593.2,86.9,80.8,0.56,0.08,43.51,,,150.142716535433,-117.08263,46.779013,33,"spring wheat"
1999,41.68,0.1637,2.201,795.9,108.5,101.5,0.31,0.06,43.32,,,263.095472440945,-117.082212,46.77905,34,"spring wheat"
1999,41.63,0.177,2.318,805.9,122.8,114.2,0.35,0.07,44.28,,,184.606299212598,-117.081794,46.778852,35,"spring wheat"
1999,,,,,,,,,,,,,-117.08140584,46.77900737,36,"spring wheat"
1999,,,,,,,,,,,,,-117.080958,46.778993,37,"spring wheat"
1999,41.22,0.1706,2.1,907.3,114.8,106.5,0.33,0.09,42.84,,,325.260826771654,-117.08054,46.778849,38,"spring wheat"
1999,,,,,,,,,,,,,-117.080122,46.779112,39,"spring wheat"
1999,,,,,,,,,,,,,-117.079704,46.779083,40,"spring wheat"
