HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,ResidueMassDryPerArea,Comments
2011,GB,CF11GPGB_1_5-A,-117.087514,46.778729,1,132.93216630196937,,Residue note: NA
2011,SW,CF11GPSW_2_6-A,-117.08706455,46.77869163,2,409.73741794310723,,Residue note: NA
2011,SW,CF11GPSW_3_7-A,-117.086678,46.778791,3,316.7396061269146,,Residue note: NA
2011,SW,CF11GPSW_4_8-A,-117.08626,46.778761,4,377.4617067833698,,Residue note: NA
2011,WW,CF11GPWW_5_9-A,-117.085842,46.778666,5,832.0568927789934,,Residue note: NA
2011,WW,CF11GPWW_6_10-A,-117.08541875,46.77877321,6,716.0831509846827,,Residue note: NA
2011,WW,CF11GPWW_7_11-A,-117.085006,46.778632,7,723.1947483588622,,Residue note: NA
2011,WW,CF11GPWW_8_12-A,-117.084588,46.778721,8,708.4245076586433,,Residue note: NA
2011,WW,CF11GPWW_9_13-A,-117.08417,46.778674,9,597.3741794310722,,Residue note: NA
2011,WW,CF11GPWW_10_14-A,-117.083752,46.778737,10,560.7221006564552,,Residue note: NA
2011,WW,CF11GPWW_11_15-A,-117.083334,46.778658,11,567.8336980306345,,Residue note: NA
2011,WW,CF11GPWW_12_16-A,-117.08293984,46.77873108,12,616.5207877461706,,Residue note: NA
2011,SW,CF11GPSW_13_17-A,-117.082498,46.778764,13,327.1334792122538,,Residue note: NA
2011,SB,CF11GPSB_14_19-A,-117.08163216,46.77868863,14,,,Residue note: wet spot | Grain note: NA
2011,SB,CF11GPSB_15_20-A,-117.081244,46.778707,15,484.6827133479212,,Residue note: NA
2011,WW,CF11GPWW_16_22-A,-117.080408,46.778826,16,479.21225382932164,,Residue note: NA
2011,SW,CF11GPSW_17_23-A,-117.07999,46.778797,17,619.8030634573304,,Residue note: NA
2011,GB,CF11GPGB_18_1-B,-117.08888012,46.77895174,18,,,Residue note: NA | Grain note: Alfalfa
2011,GB,CF11GPGB_19_2-B,-117.08846626,46.77882662,19,148.24945295404814,,Residue note: NA
2011,GB,CF11GPGB_20_3-B,-117.088064,46.778867,20,140.59080962800874,,Residue note: NA
2011,GB,CF11GPGB_21_4-B,-117.087646,46.778842,21,257.11159737417944,,Residue note: NA
2011,GB,CF11GPGB_22_5-B,-117.087228,46.779015,22,196.93654266958424,,Residue note: NA
2011,GB,CF11GPGB_23_6-B,-117.08683097,46.77900278,23,214.9890590809628,,Residue note: NA
2011,SW,CF11GPSW_24_7-B,-117.086392,46.779077,24,287.74617067833697,947.253829321663,""
2011,SW,CF11GPSW_25_8-B,-117.085974,46.779047,25,480.30634573304155,,Residue note: NA
2011,WW,CF11GPWW_26_9-B,-117.085556,46.778952,26,649.890590809628,,Residue note: NA
2011,WW,CF11GPWW_27_10-B,-117.08511704,46.77906282,27,700.7658643326039,,Residue note: NA
2011,WW,CF11GPWW_28_11-B,-117.08472,46.778918,28,786.652078774617,,Residue note: NA
2011,WW,CF11GPWW_29_12-B,-117.084302,46.779007,29,681.0722100656454,,Residue note: NA
2011,WW,CF11GPWW_30_13-B,-117.083884,46.77896,30,668.4901531728665,,Residue note: NA
2011,WW,CF11GPWW_31_14-B,-117.083466,46.779023,31,653.7199124726477,,Residue note: NA
2011,WW,CF11GPWW_32_15-B,-117.083048,46.778944,32,589.7155361050328,,Residue note: NA
2011,WW,CF11GPWW_33_16-B,-117.08263,46.779013,33,392.77899343544857,,Residue note: NA
2011,SW,CF11GPSW_34_17-B,-117.082212,46.77905,34,285.55798687089714,,Residue note: NA
2011,GB,CF11GPGB_35_18-B,-117.081794,46.778852,35,269.14660831509843,,Residue note: NA
2011,GB,CF11GPGB_36_19-B,-117.08140584,46.77900737,36,267.50547045951856,,Residue note: NA
2011,SB,CF11GPSB_37_20-B,-117.080958,46.778993,37,,,Residue note: wet spot | Grain note: NA
2011,WW,CF11GPWW_38_21-B,-117.08054,46.778849,38,425.05470459518597,,Residue note: NA
2011,WW,CF11GPWW_39_22-B,-117.080122,46.779112,39,344.6389496717724,,Residue note: NA
2011,SW,CF11GPSW_40_23-B,-117.079704,46.779083,40,,,Residue note: NA | Grain note: wet spot
2011,SW,CF11GPSW_41_24-B,-117.079286,46.779047,41,581.5098468271334,,Residue note: NA
2011,GB,CF11GPGB_42_2-C,-117.08870619,46.77911338,42,,,Residue note: NA | Grain note: Alfalfa
2011,GB,CF11GPGB_43_3-C,-117.088318,46.779153,43,256.5645514223195,620.4354485776805,""
2011,GB,CF11GPGB_44_4-C,-117.0879,46.779128,44,159.7374179431072,,Residue note: NA
2011,GB,CF11GPGB_45_5-C,-117.08746351,46.77928833,45,144.9671772428884,,Residue note: NA
2011,GB,CF11GPGB_46_6-C,-117.087064,46.779278,46,173.41356673960613,,Residue note: NA
2011,GB,CF11GPGB_47_7-C,-117.086646,46.779363,47,213.89496717724288,,Residue note: NA
2011,SW,CF11GPSW_48_8-C,-117.086228,46.779333,48,474.288840262582,,Residue note: NA
2011,SW,CF11GPSW_49_9-C,-117.08581,46.779238,49,438.7308533916849,,Residue note: NA
2011,WW,CF11GPWW_50_10-C,-117.08533553,46.77932123,50,603.3916849015317,,Residue note: NA
2011,WW,CF11GPWW_51_11-C,-117.08496351,46.77919681,51,785.5579868708971,,Residue note: NA
2011,WW,CF11GPWW_52_12-C,-117.084556,46.779293,52,659.7374179431072,,Residue note: NA
2011,WW,CF11GPWW_53_13-C,-117.084138,46.779246,53,775.1641137855579,,Residue note: NA
2011,WW,CF11GPWW_54_14-C,-117.08372,46.779309,54,671.2253829321663,1932.7746170678338,""
2011,WW,CF11GPWW_55_15-C,-117.083302,46.77923,55,493.9824945295405,,Residue note: NA
2011,WW,CF11GPWW_56_16-C,-117.08290191,46.77931128,56,722.1006564551423,,Residue note: NA
2011,WW,CF11GPWW_57_17-C,-117.082466,46.779336,57,547.5929978118162,,Residue note: NA
2011,SW,CF11GPSW_58_18-C,-117.082048,46.779138,58,425.6017505470459,,Residue note: NA
2011,GB,CF11GPGB_59_19-C,-117.08160015,46.77925244,59,285.0109409190372,,Residue note: NA
2011,GB,CF11GPGB_60_20-C,-117.081212,46.779279,60,246.1706783369803,,Residue note: NA
2011,SB,CF11GPSB_61_21-C,-117.080794,46.779135,61,,,Residue note: wet spot | Grain note: NA
2011,SB,CF11GPSB_62_22-C,-117.08039988,46.77941847,62,693.6542669584245,1920.3457330415754,""
2011,WW,CF11GPWW_63_23-C,-117.079958,46.779369,63,661.3785557986871,,Residue note: NA
2011,SW,CF11GPSW_64_24-C,-117.07954,46.779333,64,414.6608315098468,,Residue note: NA
2011,SW,CF11GPSW_65_25-C,-117.079122,46.779254,65,453.5010940919037,,Residue note: NA
2011,SW,CF11GPSW_66_26-C,-117.07873385,46.77928646,66,431.0722100656455,,Residue note: NA
2011,SW,CF11GPSW_67_27-C,-117.078286,46.779271,67,416.30196936542666,,Residue note: NA
2011,GB,CF11GPGB_68_3-D,-117.088231,46.779439000000004,68,335.8862144420131,,Residue note: NA
2011,GB,CF11GPGB_69_4-D,-117.087813,46.779414,69,227.02407002188184,,Residue note: NA
2011,GB,CF11GPGB_70_5-D,-117.087395,46.779587,70,229.75929978118162,,Residue note: NA
2011,GB,CF11GPGB_71_6-D,-117.086977,46.779564,71,167.3960612691466,432.60393873085343,""
2011,GB,CF11GPGB_72_7-D,-117.086559,46.779649,72,207.3304157549234,,Residue note: NA
2011,GB,CF11GPGB_73_8-D,-117.08617246,46.77963697,73,264.77024070021884,,Residue note: NA
2011,SW,CF11GPSW_74_9-D,-117.08569155,46.77950963,74,548.6870897155361,1561.312910284464,""
2011,SW,CF11GPSW_75_10-D,-117.085305,46.779642,75,493.4354485776805,,Residue note: NA
2011,WW,CF11GPWW_76_11-D,-117.084887,46.77949,76,,,Residue note: NA | Grain note: no sample
2011,WW,CF11GPWW_77_12-D,-117.084469,46.779579,77,661.925601750547,2055.074398249453,""
2011,WW,CF11GPWW_78_13-D,-117.084051,46.779532,78,797.0459518599562,,Residue note: NA
2011,WW,CF11GPWW_79_14-D,-117.083633,46.779595,79,574.945295404814,,Residue note: NA
2011,WW,CF11GPWW_80_15-D,-117.083215,46.779516,80,568.3807439824946,,Residue note: NA
2011,WW,CF11GPWW_81_16-D,-117.082797,46.779585,81,512.035010940919,,Residue note: NA
2011,WW,CF11GPWW_82_17-D,-117.082379,46.779622,82,660.8315098468271,,Residue note: NA
2011,SW,CF11GPSW_83_18-D,-117.081961,46.779424,83,405.90809628008753,1203.0919037199124,""
2011,SW,CF11GPSW_84_19-D,-117.081543,46.779563,84,469.9124726477024,,Residue note: NA
2011,GB,CF11GPGB_85_20-D,-117.081125,46.779565,85,233.04157549234134,,Residue note: NA
2011,SB,CF11GPSB_86_21-D,-117.080707,46.779421,86,515.3172866520788,,Residue note: NA
2011,SB,CF11GPSB_87_22-D,-117.080289,46.779684,87,469.9124726477024,,Residue note: NA
2011,WW,CF11GPWW_88_23-D,-117.079871,46.779655,88,579.3216630196937,,Residue note: NA
2011,SW,CF11GPSW_89_24-D,-117.07944702,46.77960671,89,385.1203501094092,,Residue note: NA
2011,SW,CF11GPSW_90_25-D,-117.079035,46.77954,90,515.3172866520788,,Residue note: NA
2011,SW,CF11GPSW_91_26-D,-117.078617,46.779552,91,388.94967177242887,,Residue note: NA
2011,SW,CF11GPSW_92_27-D,-117.078199,46.779557,92,514.2231947483589,,Residue note: NA
2011,SW,CF11GPSW_93_28-D,-117.077781,46.779494,93,397.7024070021882,,Residue note: NA
2011,SW,CF11GPSW_94_29-D,-117.077363,46.779658,94,274.617067833698,,Residue note: NA
2011,GB,CF11GPGB_95_3-E,-117.08807304,46.77971682,95,,,Residue note: NA | Grain note: Alfalfa
2011,GB,CF11GPGB_96_4-E,-117.087663,46.7797,96,185.9956236323851,,Residue note: NA
2011,GB,CF11GPGB_97_5-E,-117.087245,46.779873,97,202.95404814004377,543.0459518599562,""
2011,GB,CF11GPGB_98_6-E,-117.086827,46.77985,98,225.92997811816193,,Residue note: NA
2011,GB,CF11GPGB_99_7-E,-117.086409,46.779935,99,296.4989059080963,,Residue note: NA
2011,GB,CF11GPGB_100_8-E,-117.085991,46.779905,100,206.78336980306344,,Residue note: NA
2011,SW,CF11GPSW_101_9-E,-117.085573,46.77981,101,415.7549234135667,,Residue note: NA
2011,SW,CF11GPSW_102_10-E,-117.085155,46.779928,102,407.00218818380745,,Residue note: NA
2011,WW,CF11GPWW_103_11-E,-117.084737,46.779776,103,569.4748358862145,,Residue note: NA
