HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,Comments
2012,WW,GPHY12_WW_A4_1_5-A,-117.087514,46.778729,1,,10.8,8.3,75.1,28.6,""
2012,WW,GPHY12_WW_A5_2_6-A,-117.08706455,46.77869163,2,,11.4,8.1,74.3,30.9, | Sample note: mice
2012,WW,GPHY12_WW_A5_3_7-A,-117.086678,46.778791,3,,9.3,7.9,77.3,22.6,""
2012,WW,GPHY12_WW_A6_4_8-A,-117.08626,46.778761,4,,10.3,9.4,74.4,27.3, | Sample note: Mice
2012,SW,GPHY12_SW_B1_5_9-A,-117.085842,46.778666,5,,10.5,9,72.5,28.3,""
2012,SW,GPHY12_SW_B2_6_10-A,-117.08541875,46.77877321,6,,8.7,9,75.5,22.1,""
2012,SW,GPHY12_SW_B3_7_11-A,-117.085006,46.778632,7,,,,,,""
2012,SW,GPHY12_SW_B3_8_12-A,-117.084588,46.778721,8,,9.5,9.1,73.4,25.3,""
2012,WW,GPHY12_WW_B4_9_13-A,-117.08417,46.778674,9,,11.4,8.7,73.3,30.4, | Sample note: mice
2012,SB,GPHY12_SB_B5_10_14-A,-117.083752,46.778737,10,,10.8,9.2,67.3,,""
2012,SL,GPHY12_SL_B6_11_15-A,-117.083334,46.778658,11,148.7964989059081,,,,,""
2012,SL,GPHY12_SL_B6_12_16-A,-117.08293984,46.77873108,12,,,,,,""
2012,SL,GPHY12_SL_C1_13_17-A,-117.082498,46.778764,13,135.66739606126913,,,,,""
2012,SW,GPHY12_SW_C3_14_19-A,-117.08163216,46.77868863,14,,9.8,9.5,72.1,26.6,""
2012,SW,GPHY12_SW_C3_15_20-A,-117.081244,46.778707,15,,,,,,""
2012,SL,GPHY12_SL_C4_16_22-A,-117.080408,46.778826,16,338.6214442013129,,,,,""
2012,SL,GPHY12_SL_C5_17_23-A,-117.07999,46.778797,17,298.6870897155361,,,,,""
2012,WW,GPHY12_WW_A1_18_1-B,-117.08888012,46.77895174,18,,,,,,""
2012,WW,GPHY12_WW_A2_19_2-B,-117.08846626,46.77882662,19,,12.7,8.3,71.7,34.4,""
2012,WW,GPHY12_WW_A2_20_3-B,-117.088064,46.778867,20,,10.9,8.1,74.5,28.6,""
2012,WW,GPHY12_WW_A3_21_4-B,-117.087646,46.778842,21,,11.1,8.1,75,29.6,""
2012,WW,GPHY12_WW_A4_22_5-B,-117.087228,46.779015,22,,10.5,8,75.7,27, | Sample note: mice
2012,WW,GPHY12_WW_A4_23_6-B,-117.08683097,46.77900278,23,,11.7,7.9,74,31.1,""
2012,WW,GPHY12_WW_A5_24_7-B,-117.086392,46.779077,24,,10.1,8.1,77.4,26,""
2012,WW,GPHY12_WW_A6_25_8-B,-117.085974,46.779047,25,,9.3,7.9,78.2,22.8,""
2012,SW,GPHY12_SW_B1_26_9-B,-117.085556,46.778952,26,,9.8,8.9,74,26.2,""
