HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainCarbon,GrainNitrogen,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,ResidueMassDryPerArea,ResidueCarbon,ResidueNitrogen,Comments
2013,SW,CF13GPSW_0_5-A,-117.08751,46.77873,1,189.05839895013122,,,11.9,7.6,72,30.1,,,,
2013,GB,CF13GPGB_1_6-A,-117.08706,46.77869,2,84.07152230971128,46.141,3.5254,,,,,,,,
2013,GB,CF13GPGB_2_7-A,-117.08668,46.77879,3,150.91863517060366,46.31,3.5875,,,,,,,,
2013,SB,CF13GPSB_3_8-A,-117.08626,46.77876,4,338.746719160105,,,12.2,9.2,63,,,,,
2013,GB,CF13GPGB_4_9-A,-117.08584,46.77867,5,182.08661417322833,46.683,3.9095,,,,,,,,
2013,GB,CF13GPGB_5_10-A,-117.08542,46.77877,6,125.9022309711286,46.913,3.7607,,,,,,,,
2013,GB,CF13GPGB_6_11-A,-117.08501,46.77863,7,121.39107611548556,46.587,3.9043,,,,,,,,
2013,GB,CF13GPGB_8_13-A,-117.08417,46.77867,9,200.9514435695538,46.497,3.5176,,,,,,,,
2013,SW,CF13GPSW_9_14-A,-117.08375,46.77874,10,232.93963254593174,,,10.8,6.3,78.1,24,,,,
2013,SW,CF13GPSW_10_15-A,-117.08333,46.77866,11,315.37073490813646,,,10.6,9.7,70,28.8,,,,
2013,SW,CF13GPSW_11_16-A,-117.08294,46.77873,12,303.06758530183725,,,13.2,9.5,67.6,35.2,784.9409448818898,45.064,0.60088,
2013,WW,CF13GPWW_13_17-A,-117.0825,46.77876,13,328.9041994750656,,,10,9.1,73.5,25.5,,,,
2013,WW,CF13GPWW_14_19-A,-117.08163,46.77869,14,143.94685039370077,,,8.9,9.4,72.9,23,,,,insufficient sample
2013,WW,CF13GPWW_15_20-A,-117.08124,46.77871,15,228.83858267716533,,,8.9,9.2,73.6,22,,,,
2013,WW,CF13GPWW_16_22-A,-117.08041,46.77883,16,451.11548556430444,,,9.7,9.3,74.4,24.6,,,,
2013,WW,CF13GPWW_17_23-A,-117.07999,46.7788,17,517.1423884514436,,,10.1,9.6,74.3,26.8,,,,
