HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainOilDM,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,ResidueMassDryPerArea,Comments
2016,SC,GPHY16_SC_A4_1_5-A_B,-117.087513999999,46.778729,1,165,,,,,,513.5,
2016,SC,GPHY16_SC_A5_2_6-A_B,-117.087064549999,46.778691631,2,177.5,,,,,,538,
2016,SC,GPHY16_SC_A5_3_7-A_B,-117.086677999999,46.778791,3,256,,,,,,660,
2016,SC,GPHY16_SC_A6_4_8-A_B,-117.086259999999,46.778761,4,328.5,,,,,,687.5,
2016,SC,GPHY16_SC_B1_5_9-A_B,-117.085841999999,46.778666,5,309,,,,,,608.5,
2016,SC,GPHY16_SC_B2_6_10-A_B,-117.085418744999,46.778773209,6,251,49.3,,3.8,,,538.5,",Moisture outside limits"
2016,SC,GPHY16_SC_B3_7_11-A_B,-117.085005999999,46.778632,7,295,,,,,,649,
2016,SC,GPHY16_SC_B3_8_12-A_B,-117.084587999999,46.778721,8,119,,,,,,652,
2016,SC,GPHY16_SC_B4_9_13-A_B,-117.08416999999901,46.778674,9,195.5,,,,,,643.5,
2016,SC,GPHY16_SC_B5_10_14-A_B,-117.083751999999,46.778737,10,232,,,,,,672.5,
2016,SC,GPHY16_SC_B6_11_15-A_B,-117.083333999999,46.778658,11,138.5,,,,,,613,
2016,SC,GPHY16_SC_B6_12_16-A_B,-117.08293983799901,46.778731076,12,113.5,,,,,,525,
2016,WW,GPHY16_WW_C1_13_17-A_G,-117.08249799999901,46.778764,13,460.9580052493438,,,,,,,
2016,WW,GPHY16_WW_C3_14_19-A_G,-117.081632159999,46.778688635,14,554.8720472440945,,,,,,,
2016,WW,GPHY16_WW_C3_15_20-A_G,-117.081243999999,46.778707,15,415.84645669291336,,,,,,,
2016,WW,GPHY16_WW_C4_16_22-A_G,-117.080407999999,46.778826,16,520.4232283464567,,,,,,,
2016,WW,GPHY16_WW_C5_17_23-A_G,-117.079989999999,46.778797,17,463.8287401574803,,,,,,,
2016,SC,GPHY16_SC_A1_18_1-B_B,-117.088880119999,46.778951736,18,102.5,,,,,,437,
2016,SC,GPHY16_SC_A2_19_2-B_B,-117.08846626299901,46.778826619,19,217.5,,,,,,677,
2016,SC,GPHY16_SC_A2_20_3-B_B,-117.08806399999899,46.778867,20,111.5,,,,,,316,
2016,SC,GPHY16_SC_A3_21_4-B_B,-117.087645999999,46.778842,21,76,,,,,,569.5,
2016,SC,GPHY16_SC_A4_22_5-B_B,-117.087227999999,46.779015,22,186.5,,,,,,507,
2016,SC,GPHY16_SC_A4_23_5-B_B,-117.08683096799901,46.779002779,23,219.5,,,,,,496.5,
2016,SC,GPHY16_SC_A5_24_7-B_B,-117.08639199999899,46.779077,24,116,,,,,,418.5,
2016,SC,GPHY16_SC_A6_25_8-B_B,-117.085973999999,46.779047,25,196,,,,,,639.5,
